KCH,avg_pjf,avg_yxl,avg_aplus,max_aplus,max_yxl,min_yxl,avg_xkrs,avg_jgl,min_jgl
1000390002,81.73,17.35,17.0,17,17.35,17.35,98.0,100.0,100.0
1000420002,79.26,0.0,0.0,0,0.0,0.0,90.0,100.0,100.0
1000460002,73.685,0.0,0.0,0,0.0,0.0,95.5,100.0,100.0
1000510002,69.08666666666666,4.046666666666667,5.333333333333333,6,4.73,2.9,131.0,100.0,100.0
1000580002,82.33,2.25,2.0,2,2.25,2.25,89.0,100.0,100.0
1000650002,81.45,0.0,0.0,0,0.0,0.0,139.5,100.0,100.0
1000700002,78.84333333333332,4.526666666666666,6.333333333333333,9,6.34,1.48,138.33333333333334,100.0,100.0
1000730002,80.27000000000001,3.015,4.0,6,4.62,1.41,135.5,100.0,100.0
1000760002,78.34,8.195,7.5,8,8.7,7.69,90.5,100.0,100.0
1000860002,75.545,0.0,0.0,0,0.0,0.0,89.5,100.0,100.0
1001130002,77.46,7.69,3.0,3,7.69,7.69,39.0,100.0,100.0
1001410002,77.87,7.87,7.0,7,7.87,7.87,89.0,100.0,100.0
1001620002,82.535,2.9,2.0,4,5.8,0.0,44.0,100.0,100.0
1002000001,84.39,0.0,0.0,0,0.0,0.0,87.0,100.0,100.0
1002010001,76.26333333333334,1.32,0.6666666666666666,1,2.04,0.0,51.0,100.0,100.0
1002020001,72.26,0.635,0.5,1,1.27,0.0,79.0,100.0,100.0
1002030001,82.2,3.33,1.0,1,3.33,3.33,30.0,100.0,100.0
1002040001,85.21,3.45,1.0,1,3.45,3.45,29.0,100.0,100.0
1002050001,79.89,0.0,0.0,0,0.0,0.0,30.0,100.0,100.0
1002060001,77.67,0.0,0.0,0,0.0,0.0,43.0,100.0,100.0
1002070001,78.9,3.33,1.0,1,3.33,3.33,30.0,100.0,100.0
1002080001,80.07,0.0,0.0,0,0.0,0.0,30.0,100.0,100.0
1002090001,81.25,0.0,0.0,0,0.0,0.0,28.0,100.0,100.0
1002100001,81.505,2.625,1.0,1,3.33,1.92,41.0,100.0,100.0
1002140001,81.52,0.0,0.0,0,0.0,0.0,29.0,100.0,100.0
1002180001,82.69,3.19,4.5,9,6.38,0.0,135.5,100.0,100.0
1002190001,81.35,8.875,13.0,14,9.86,7.89,146.5,100.0,100.0
1002200001,80.14666666666666,3.0133333333333336,4.333333333333333,7,5.07,0.0,135.0,100.0,100.0
1002210001,78.19,0.0,0.0,0,0.0,0.0,133.5,100.0,100.0
1002230001,80.37,3.85,3.0,3,3.85,3.85,78.0,100.0,100.0
1002240001,82.33,6.7,12.0,12,6.7,6.7,179.0,100.0,100.0
1002250001,80.76,8.89,8.0,8,8.89,8.89,90.0,100.0,100.0
1002260001,82.1,6.25,6.0,6,6.25,6.25,96.0,100.0,100.0
1002270001,84.744,8.352,0.8,1,14.29,0.0,12.6,100.0,100.0
1002300001,84.09666666666668,2.3366666666666664,2.0,3,3.95,0.0,80.33333333333333,100.0,100.0
1002310001,82.1,0.0,0.0,0,0.0,0.0,20.0,100.0,100.0
1002330001,81.22,0.0,0.0,0,0.0,0.0,18.0,100.0,100.0
1002340001,82.28,5.56,1.0,1,5.56,5.56,18.0,100.0,100.0
1002350001,84.0,0.0,0.0,0,0.0,0.0,18.0,100.0,100.0
1002360001,84.5,0.0,0.0,0,0.0,0.0,18.0,100.0,100.0
1002370001,83.925,5.0,1.0,2,10.0,0.0,20.0,100.0,100.0
1002380001,83.22,5.56,1.0,1,5.56,5.56,18.0,100.0,100.0
1002390001,82.42,5.26,1.0,1,5.26,5.26,19.0,100.0,100.0
1002400001,82.89,2.86,1.0,1,2.86,2.86,35.0,100.0,100.0
1002410001,84.22,0.0,0.0,0,0.0,0.0,18.0,100.0,100.0
1002420001,82.94,0.0,0.0,0,0.0,0.0,17.0,100.0,100.0
1002440001,84.71,0.0,0.0,0,0.0,0.0,21.0,100.0,100.0
