teachingClassID,courseNumber,courseName,teacherName,departmentName,teachingPlace,credit,hours,campusName
202120222050272000201,0502720002,人体工学,巢晃,艺术学部,1-9周 星期五 第7-10节 艺术学院L7-717,2,36,粤海校区
202120222050272000301,0502720003,人体工学与环境设计,李阳,艺术学部,"10-16周 星期二 第1-4节 艺术学院L7-512A,10-16周 星期四 第1-4节 艺术学院L7-512A",2,54,粤海校区
202120222050272000302,0502720003,人体工学与环境设计,李阳,艺术学部,"10-16周 星期三 第1-4节 艺术学院L7-512A,10-16周 星期五 第1-4节 艺术学院L7-512A",2,54,粤海校区
202120222050331000101,0503310001,视听语言,吴浚,艺术学部,1-9周 星期五 第1-4节 艺术学院L7-517,2,36,粤海校区
202120222050341000101,0503410001,室内设计原理,宋鸣笛,艺术学部,"1-9周 星期三 1-4节 艺术学院L7-614b,1-9周 星期五 1-4节 艺术学院L7-614b",3,72,粤海校区
202120222050345000301,0503450003,出版物设计,高海英,艺术学部,"1-9周 星期三 第7-10节 艺术学院L7-613,1-9周 星期五 第7-10节 艺术学院L7-613",3,72,粤海校区
202120222050345000401,0503450004,书籍设计,吴诗川,艺术学部,"10-16周 星期三 第7-10节 艺术学院L7-614,10-16周 星期五 第7-10节 艺术学院L7-614",2,54,粤海校区
202120222050364000201,0503640002,图形创意,刘卓扬,艺术学部,"1-7周 星期二 第1-4节 艺术学院L7-614,1-7周 星期四 第1-4节 艺术学院L7-614",2,54,粤海校区
202120222050369000101,0503690001,外国美术名作赏析,付蓉,艺术学部,9-17周 星期三 第7-10节 艺术学院L7-715,2,36,粤海校区
202120222050385000101,0503850001,艺术概论,文婷婷,艺术学部,1-14周 星期二 第7-10节 艺术学院L7-417,3,54,粤海校区
202120222050388000101,0503880001,艺术设计专业英语,李逸斐,艺术学部,"1-7周 星期二 第1-4节 艺术学院L7-717,1-7周 星期四 第1-4节 艺术学院L7-717",2,54,粤海校区
202120222050390000101,0503900001,艺用视觉心理学,崔育斌,艺术学部,1-18周 星期四 第7-8节 艺术学院L7-720,2,36,粤海校区
202120222050399000101,0503990001,展示空间设计,巫濛,艺术学部,"9-17周 星期一 第1-4节 艺术学院L7-722,9-17周 星期三 第1-4节 艺术学院L7-722",3,72,粤海校区
202120222050400000201,0504000002,展示设计,廖波峰,艺术学部,"10-16周 星期三 第7-10节 艺术学院L7-725,10-16周 星期五 第7-10节 艺术学院L7-725",2,54,粤海校区
202120222050409000101,0504090001,中国传统工艺欣赏,车海峰,艺术学部,1-9周 星期二 第7-10节 艺术学院L7-717,2,36,粤海校区
202120222050413000101,0504130001,中国画,吴坚旭,艺术学部,1-9周 星期一 第1-4节 艺术学院L7-719,2,36,粤海校区
202120222050425000101,0504250001,专题设计（1）,战捷,艺术学部,"10-16周 星期二 第7-10节 艺术学院L7-714,10-16周 星期四 第7-10节 艺术学院L7-714",2,54,粤海校区
202120222050431000101,0504310001,字体设计,陈振旺,艺术学部,"1-9周 星期一 第1-4节 艺术学院L7-720,1-9周 星期三 第1-4节 艺术学院L7-720",3,72,粤海校区
